Sentence,Song,Group,Context
방탄소년단의 가사는 이별 후에도 서로를 그리워하는 복잡한 감정을 섬세하게 표현한다,Spring Day,BTS,Lyrics
EXO는 다양한 음악적 시도를 통해 K-pop의 글로벌 확산에 크게 기여했다는 평가를 받고 있다,Pink Venom,BLACKPINK,NamuWiki
"한국 문화산업 연구원 보고서에 따르면, 엑소는 단순한 음악을 넘어 국가 이미지 제고와 경제적 파급효과를 창출하고 있다",Love Shot,EXO,News Article
트와이스 노래 가사 속 은유와 상징은 청자의 해석에 따라 다르게 다가온다,Cheer Up,TWICE,Lyrics
세븐틴은 K-pop 열풍에 크게 영향을 미치고 있다고 확인되었다.,Very Nice,SEVENTEEN,NamuWiki
최근 신문은 아이콘의 공연이 지역 경제 활성화에 기여했다고 보도했다,Rhythm Ta,iKON,News Article
뉴진스의 편곡은 전통 악기와 현대적 사운드를 결합하여 독창성을 더했다,Hype Boy,NewJeans,Lyrics
나무위키 문서에서는 방탄소년단의 팬덤 문화를 사회적 현상으로 설명한다,Dynamite,BTS,NamuWiki
전문가는 블랙핑크의 성공 요인으로 체계적인 트레이닝 시스템과 글로벌 전략을 꼽는다,How You Like That,BLACKPINK,News Article
에스파 라이브 무대는 기술적 완성도와 예술적 표현력이 조화를 이루었다,Rich man,Aespa,News Article
