Sentence,Song,Group,Context
방탄소년단의 곡 봄날은 따뜻한 봄날의 기억을 담고 있다,Spring Day,BTS,NamuWiki
블랙핑크는 케이팝 역사에서 중요한 전환점을 만들었다,Pink Venom,BLACKPINK,NamuWiki
"최근 기사에 따르면, EXO는 아시아 전역에서 성장하고 있다",Love Shot,EXO,News Article
태연하게 연기할래 아무렇지 않게,Cheer Up,TWICE,Lyrics
세븐틴은 데뷔 이후 여러 차례 음원 차트를 석권했다,Very Nice,SEVENTEEN,NamuWiki
아이콘의 팬덤은 활발한 온라인 활동으로 유명하다,Rhythm Ta,iKON,News Article
내 지난날들은 눈 뜨면 잊는 꿈,Hype Boy,NewJeans,Lyrics
BTS는 대중들에게  독창적인 콘셉트로 평가받고 있다,Dynamite,BTS,NamuWiki
언론은 블랙핑크의 글로벌 영향력을 크게 보도했다,How You Like That,BLACKPINK,News Article
EXO 무대 연출은 파워풀하면서도 감각적이었다,Growl,EXO,News Article
